"sucursal	articulo	cantidad	total"
"petrona           	SEMILLAS BAGUETTE 330G                                                                                                  	3	5400"
"petrona           	TARTA FRUTAS ESTACION	2	7900"
"petrona           	TRADITION 1KG                                                                                                           	40	130000"
"petrona           	TRADITION 1KG                                                                                                           	45	146250"
"petrona           	TRADITION 1KG                                                                                                           	42	136500"
"petrona           	TRADITION 1KG                                                                                                           	35	113750"
"petrona           	TRADITION 1KG                                                                                                           	13	44850"
"petrona           	TRADITION 500GR                                                                                                         	6	14700"
"petrona           	TRADITION 500GR                                                                                                         	7	17150"
"petrona           	TRADITION 500GR                                                                                                         	7	17150"
"petrona           	TRADITION 500GR                                                                                                         	6	14700"
"petrona           	TRADITION 500GR                                                                                                         	3	8100"
"petrona           	TRADITION BAGUETTE 330G                                                                                                 	8	13200"
"petrona           	TRADITION BAGUETTE 330G                                                                                                 	7	11550"
"petrona           	TRADITION BAGUETTE 330G                                                                                                 	9	14850"
"petrona           	TRADITION BAGUETTE 330G                                                                                                 	7	11550"
"petrona           	TRADITION BAGUETTE 330G                                                                                                 	3	4950"
"madero	Bondiola  empanadas                                                                                                     	18	35100"
"madero	BROWNIE CHOCOLATE Y NUECES                                                                                              	4	11800"
"madero	BROWNIE CHOCOLATE Y NUECES                                                                                              	4	11800"
"madero	BROWNIE CHOCOLATE Y NUECES                                                                                              	3	8850"
"madero	CANNELE                                                                                                                 	9	18000"
"madero	CANNELE                                                                                                                 	9	18000"
"madero	CANNELE                                                                                                                 	9	18000"
"madero	CANNELE                                                                                                                 	9	18000"
"madero	CANNELE                                                                                                                 	2	4000"
"madero	CARROT CAKE  SIN TACC                                                                                            	10	39500"
"madero	CARROT CAKE  SIN TACC                                                                                            	10	39500"
"madero	CARROT CAKE  SIN TACC                                                                                            	8	31600"
"madero	CARROT CAKE  SIN TACC                                                                                            	8	31600"
"madero	CARROT CAKE  SIN TACC                                                                                            	2	7900"
"madero	CHEESE CAKE  SIN TACC                                                                                                	9	35550"
"madero	CHEESE CAKE  SIN TACC                                                                                                	10	39500"
"madero	CHEESE CAKE Maracuya                                                                                                    	9	35550"
"madero	CHEESE CAKE Maracuya                                                                                                    	10	39500"
"madero	CHEESE CAKE Maracuya                                                                                                    	2	7900"
"madero	Ciabatta                                                                                                                	32	41600"
"madero	Ciabatta                                                                                                                	32	41600"
"madero	Ciabatta                                                                                                                	32	41600"
"madero	Ciabatta                                                                                                                	44	57200"
"madero	Ciabatta                                                                                                                	8	11200"
"madero	COOKIE                                                                                                                  	11	35750"
"madero	COOKIE                                                                                                                  	10	32500"
"madero	COOKIE                                                                                                                  	9	29250"
"madero	COOKIE                                                                                                                  	7	22750"
"madero	COOKIE                                                                                                                  	1	3250"
"madero	cookie pistacho                                                                                                         	4	13800"
"madero	cookie pistacho                                                                                                         	4	13800"
"madero	cookie pistacho                                                                                                         	3	10350"
"madero	cookie pistacho                                                                                                         	6	20700"
"madero	cookie vegano                                                                                                           	1	2200"
"madero	CROISSANT                                                                                                               	215	387000"
"madero	CROISSANT                                                                                                               	205	369000"
"madero	CROISSANT                                                                                                               	139	250200"
"madero	CROISSANT                                                                                                               	197	354600"
"madero	CROISSANT                                                                                                               	63	141750"
"madero	croissant DDL                                                                                                           	18	49500"
"madero	croissant DDL                                                                                                           	16	44000"
"madero	croissant DDL                                                                                                           	14	38500"
"madero	croissant DDL                                                                                                           	12	33000"
"madero	croissant DDL                                                                                                           	6	16500"
"madero	CROISSANT DE ALMENDRAS                                                                                                  	37	109150"
"madero	CROISSANT DE ALMENDRAS                                                                                                  	31	91450"
"madero	CROISSANT DE ALMENDRAS                                                                                                  	31	91450"
"madero	CROISSANT DE ALMENDRAS                                                                                                  	22	64900"
"madero	CROISSANT DE ALMENDRAS                                                                                                  	10	31000"
"madero	CROISSANT DE PISTACHOS                                                                                                  	36	117000"
"madero	CROISSANT DE PISTACHOS                                                                                                  	35	113750"
"madero	CROISSANT DE PISTACHOS                                                                                                  	32	104000"
"madero	CROISSANT DE PISTACHOS                                                                                                  	22	71500"
"madero	CROISSANT DE PISTACHOS                                                                                                  	11	39600"
"madero	croissant frutos rojos                                                                                                  	9	25200"
"madero	croissant frutos rojos                                                                                                  	8	22400"
"madero	croissant frutos rojos                                                                                                  	6	16800"
"madero	croissant frutos rojos                                                                                                  	6	16800"
"madero	Croissant nutela                                                                                                       	38	112100"
"madero	Croissant nutela                                                                                                       	37	109150"
"madero	Croissant nutela                                                                                                       	32	94400"
"madero	Croissant nutela                                                                                                       	24	70800"
"madero	Croissant nutela                                                                                                       	13	46800"
"madero	croissant Pastelera                                                                                                     	37	101750"
"madero	croissant Pastelera                                                                                                     	32	88000"
"madero	croissant Pastelera                                                                                                     	32	88000"
"madero	croissant Pastelera                                                                                                     	21	57750"
"madero	croissant Pastelera                                                                                                     	10	27500"
"madero	CRUMBLE DE MANZANA                                                                                                    	9	35550"
"madero	CRUMBLE DE MANZANA                                                                                                    	11	43450"
"madero	CRUMBLE DE MANZANA                                                                                                    	10	39500"
"madero	CRUMBLE DE MANZANA                                                                                                    	8	31600"
"madero	CRUMBLE DE MANZANA                                                                                                    	2	7900"
"madero	Danesa                                                                                                                  	10	25500"
"madero	Danesa                                                                                                                  	10	25500"
"madero	Danesa                                                                                                                  	6	15300"
"madero	Danesa                                                                                                                  	8	20400"
"madero	ECLAIR DE CHOCOLATE                                                                                                     	11	37950"
"madero	ECLAIR DE CHOCOLATE                                                                                                     	12	41400"
"madero	ECLAIR DE CHOCOLATE                                                                                                     	9	31050"
"madero	ECLAIR DE CHOCOLATE                                                                                                     	9	31050"
"madero	ECLAIR DE CHOCOLATE                                                                                                     	1	3450"
"madero	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	5	15750"
"madero	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	11	34650"
"madero	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	9	28350"
"madero	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	9	28350"
"madero	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	1	3150"
"madero	ECLAIR DE PISTACHO                                                                                                      	11	41250"
"madero	ECLAIR DE PISTACHO                                                                                                      	12	45000"
"madero	ECLAIR DE PISTACHO                                                                                                      	9	33750"
"madero	ECLAIR DE PISTACHO                                                                                                      	9	33750"
"madero	ECLAIR DE PISTACHO                                                                                                      	1	3750"
"madero	empanada blanquette                                                                                                             	12	23400"
"madero	empanada bourguinon	5	9750"
"madero	empanada bourguinon	1	1950"
"madero	empanadas bourguignon                                                                                                   	18	35100"
"madero	Gougere                                                                                                                 	13	26650"
"madero	Gougere                                                                                                                 	17	34850"
"madero	Gougere                                                                                                                 	18	36900"
"madero	Gougere                                                                                                                 	16	32800"
"madero	Gougere                                                                                                                 	6	12300"
"madero	INTEGRAL 1KG                                                                                                            	45	155250"
"madero	INTEGRAL 1KG                                                                                                            	44	151800"
"madero	INTEGRAL 1KG                                                                                                            	42	144900"
"madero	INTEGRAL 1KG                                                                                                            	34	117300"
"madero	INTEGRAL 1KG                                                                                                            	14	50400"
"madero	INTEGRAL 500GR                                                                                                          	9	24300"
"madero	INTEGRAL 500GR                                                                                                          	9	24300"
"madero	INTEGRAL 500GR                                                                                                          	9	24300"
"madero	INTEGRAL 500GR                                                                                                          	13	35100"
"madero	INTEGRAL 500GR                                                                                                          	8	23600"
"madero	KOUIGN AMANN                                                                                                            	7	13650"
"madero	KOUIGN AMANN                                                                                                            	6	11700"
"madero	KOUIGN AMANN                                                                                                            	8	15600"
"madero	KOUIGN AMANN                                                                                                            	8	15600"
"madero	KOUIGN AMANN                                                                                                            	3	5850"
"madero	lemon croissant                                                                                                         	9	25200"
"madero	lemon croissant                                                                                                         	8	22400"
"madero	lemon croissant                                                                                                         	6	16800"
"madero	lemon croissant                                                                                                         	6	16800"
"madero	LEMON PIE INDIVIDUAL                                                                                                    	10	39500"
"madero	LEMON PIE INDIVIDUAL                                                                                                    	10	39500"
"madero	LEMON PIE INDIVIDUAL                                                                                                    	8	31600"
