sucursal	articulo	cantidad	precio promedio	total
Callao	COOKIE                                                                                                                  	15	$  4.340,0	$  65.100,0
Madero	COOKIE                                                                                                                  	35	$  6.500,0	$  227.500,0
Petrona	COOKIE                                                                                                                  	37	$  6.500,0	$  240.500,0
San Telmo	COOKIE                                                                                                                  	29	$  4.272,4138	$  123.900,0
Callao	CRUMBLE DE MANZANA                                                                                                    	11	$  7.009,0909	$  77.100,0
Madero	CRUMBLE DE MANZANA                                                                                                    	32	$  8.050,0	$  257.600,0
Petrona	CRUMBLE DE MANZANA                                                                                                    	19	$  7.994,7368	$  151.900,0
San Telmo	CRUMBLE DE MANZANA                                                                                                    	15	$  7.020,0	$  105.300,0
Callao	ECLAIR DE CHOCOLATE                                                                                                     	12	$  6.400,0	$  76.800,0
Madero	ECLAIR DE CHOCOLATE                                                                                                     	35	$  6.934,2857	$  242.700,0
Petrona	ECLAIR DE CHOCOLATE                                                                                                     	18	$  6.950,0	$  125.100,0
San Telmo	ECLAIR DE CHOCOLATE                                                                                                     	19	$  6.478,9474	$  123.100,0
Callao	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	2	$  6.200,0	$  12.400,0
Madero	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	11	$  6.354,5455	$  69.900,0
Petrona	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	14	$  6.342,8571	$  88.800,0
San Telmo	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	9	$  6.033,3333	$  54.300,0
Callao	ECLAIR DE PISTACHO                                                                                                      	13	$  6.992,3077	$  90.900,0
Madero	ECLAIR DE PISTACHO                                                                                                      	29	$  7.534,4828	$  218.500,0
Petrona	ECLAIR DE PISTACHO                                                                                                      	17	$  7.529,4118	$  128.000,0
San Telmo	ECLAIR DE PISTACHO                                                                                                      	23	$  6.952,1739	$  159.900,0
Callao	LEMON PIE INDIVIDUAL                                                                                                    	11	$  6.954,5455	$  76.500,0
Madero	LEMON PIE INDIVIDUAL                                                                                                    	37	$  8.013,5135	$  296.500,0
Petrona	LEMON PIE INDIVIDUAL                                                                                                    	23	$  7.952,1739	$  182.900,0
San Telmo	LEMON PIE INDIVIDUAL                                                                                                    	22	$  6.954,5455	$  153.000,0
Madero	Marquise ch sinTACC                                                                                                     	16	$  7.900,0	$  126.400,0
Petrona	Marquise ch sinTACC                                                                                                     	5	$  7.900,0	$  39.500,0
San Telmo	Marquise ch sinTACC                                                                                                     	7	$  6.900,0	$  48.300,0
Callao	PAN DULCE 500G	3	$  24.000,0	$  72.000,0
Madero	PAN DULCE 500G	2	$  30.000,0	$  60.000,0
Petrona	PAN DULCE 500G	1	$  30.000,0	$  30.000,0
San Telmo	PAN DULCE 500G	4	$  24.000,0	$  96.000,0
Callao	PARIS BREST                                                                                                             	4	$  6.900,0	$  27.600,0
Madero	PARIS BREST                                                                                                             	9	$  7.200,0	$  64.800,0
San Telmo	PARIS BREST                                                                                                             	9	$  6.900,0	$  62.100,0
Callao	PAVLOVA  FRUTAL 	1	$  29.000,0	$  29.000,0
Petrona	PAVLOVA  FRUTAL 	1	$  30.000,0	$  30.000,0
Callao	cookie pistacho                                                                                                         	7	$  4.700,0	$  32.900,0
Madero	cookie pistacho                                                                                                         	14	$  6.900,0	$  96.600,0
Petrona	cookie pistacho                                                                                                         	10	$  6.900,0	$  69.000,0
San Telmo	cookie pistacho                                                                                                         	19	$  4.868,4211	$  92.500,0
Callao	cookie vegano                                                                                                           	1	$  4.200,0	$  4.200,0
Madero	cookie vegano                                                                                                           	1	$  4.400,0	$  4.400,0
Petrona	cookie vegano                                                                                                           	6	$  4.400,0	$  26.400,0
Callao	CROISSANT                                                                                                               	156	$  3.652,5641	$  569.800,0
Madero	CROISSANT                                                                                                               	247	$  3.727,5304	$  920.700,0
Petrona	CROISSANT                                                                                                               	100	$  3.753,0	$  375.300,0
San Telmo	CROISSANT                                                                                                               	171	$  3.630,9942	$  620.900,0
Callao	croissant DDL                                                                                                           	21	$  4.800,0	$  100.800,0
Madero	croissant DDL                                                                                                           	46	$  5.500,0	$  253.000,0
Petrona	croissant DDL                                                                                                           	20	$  5.500,0	$  110.000,0
San Telmo	croissant DDL                                                                                                           	40	$  4.800,0	$  192.000,0
Callao	CROISSANT DE ALMENDRAS                                                                                                  	52	$  5.448,0769	$  283.300,0
Madero	CROISSANT DE ALMENDRAS                                                                                                  	80	$  5.933,750	$  474.700,0
Petrona	CROISSANT DE ALMENDRAS                                                                                                  	62	$  5.948,3871	$  368.800,0
San Telmo	CROISSANT DE ALMENDRAS                                                                                                  	63	$  5.487,3016	$  345.700,0
Callao	CROISSANT DE PISTACHOS                                                                                                  	54	$  6.011,1111	$  324.600,0
Madero	CROISSANT DE PISTACHOS                                                                                                  	70	$  6.560,0	$  459.200,0
Petrona	CROISSANT DE PISTACHOS                                                                                                  	49	$  6.614,2857	$  324.100,0
San Telmo	CROISSANT DE PISTACHOS                                                                                                  	74	$  6.062,1622	$  448.600,0
Callao	croissant frutos rojos                                                                                                  	12	$  5.400,0	$  64.800,0
Madero	croissant frutos rojos                                                                                                  	12	$  5.600,0	$  67.200,0
Petrona	croissant frutos rojos                                                                                                  	5	$  5.600,0	$  28.000,0
San Telmo	croissant frutos rojos                                                                                                  	8	$  5.400,0	$  43.200,0
Callao	Croissant nutela                                                                                                       	49	$  5.553,0612	$  272.100,0
Madero	Croissant nutela                                                                                                       	77	$  6.068,8312	$  467.300,0
Petrona	Croissant nutela                                                                                                       	47	$  6.065,9574	$  285.100,0
San Telmo	Croissant nutela                                                                                                       	90	$  5.566,6667	$  501.000,0
Callao	croissant Pastelera                                                                                                     	21	$  4.800,0	$  100.800,0
Madero	croissant Pastelera                                                                                                     	75	$  5.500,0	$  412.500,0
Petrona	croissant Pastelera                                                                                                     	30	$  5.500,0	$  165.000,0
San Telmo	croissant Pastelera                                                                                                     	64	$  4.800,0	$  307.200,0
Callao	Danesa                                                                                                                  	17	$  5.488,2353	$  93.300,0
Madero	Danesa                                                                                                                  	23	$  5.739,1304	$  132.000,0
Petrona	Danesa                                                                                                                  	12	$  5.625,0	$  67.500,0
San Telmo	Danesa                                                                                                                  	27	$  5.492,5926	$  148.300,0
Callao	KOUIGN AMANN                                                                                                            	8	$  3.900,0	$  31.200,0
Madero	KOUIGN AMANN                                                                                                            	22	$  3.927,2727	$  86.400,0
Petrona	KOUIGN AMANN                                                                                                            	13	$  3.992,3077	$  51.900,0
San Telmo	KOUIGN AMANN                                                                                                            	17	$  3.935,2941	$  66.900,0
Callao	lemon croissant                                                                                                         	8	$  5.400,0	$  43.200,0
Madero	lemon croissant                                                                                                         	7	$  5.600,0	$  39.200,0
San Telmo	lemon croissant                                                                                                         	7	$  5.400,0	$  37.800,0
Callao	medialuna grasa                                                                                                        	100	$  2.133,0	$  213.300,0
Madero	medialuna grasa                                                                                                        	190	$  2.434,7368	$  462.600,0
Petrona	medialuna grasa                                                                                                        	109	$  2.446,7890	$  266.700,0
San Telmo	medialuna grasa                                                                                                        	106	$  2.128,3019	$  225.600,0
Callao	medialuna manteca                                                                                                             	658	$  2.137,3860	$  1.406.400,0
Madero	medialuna manteca                                                                                                             	798	$  2.442,1053	$  1.948.800,0
Petrona	medialuna manteca                                                                                                             	444	$  2.425,0	$  1.076.700,0
San Telmo	medialuna manteca                                                                                                             	435	$  2.137,2414	$  929.700,0
Callao	moño de frutos rojos                                                                                                    	58	$  5.451,7241	$  316.200,0
Madero	moño de frutos rojos                                                                                                    	65	$  5.950,7692	$  386.800,0
Petrona	moño de frutos rojos                                                                                                    	27	$  5.922,2222	$  159.900,0
San Telmo	moño de frutos rojos                                                                                                    	73	$  5.461,6438	$  398.700,0
Callao	PAN DE CHOCOLATE                                                                                                        	59	$  5.400,0	$  318.600,0
Madero	PAN DE CHOCOLATE                                                                                                        	65	$  5.584,6154	$  363.000,0
Petrona	PAN DE CHOCOLATE                                                                                                        	59	$  5.508,4746	$  325.000,0
San Telmo	PAN DE CHOCOLATE                                                                                                        	78	$  5.400,0	$  421.200,0
Callao	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	3	$  5.900,0	$  17.700,0
Madero	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	3	$  6.100,0	$  18.300,0
Petrona	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	1	$  6.100,0	$  6.100,0
San Telmo	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	5	$  5.900,0	$  29.500,0
Callao	pan suizo                                                                                                               	15	$  5.400,0	$  81.000,0
